Character,Pinyin,English
许,xu3,to allow/to permit/to promise/to praise/somewhat/perhaps
举,ju3,to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect/act/move/deed
扒,ba1,to rake up/to steal/to braise/to crawl
肯,ken3,to agree; to consent/to be willing to
认,ren4,to recognize/to know/to admit
输,shu1,to lose; to be beaten/(bound form) to transport/(literary) to donate; to contribute/(coll.) to enter (a password)
向,xiang4,variant of 向[xiang4]/direction/orientation/to face/to turn toward/to/towards/shortly before/formerly
窄,zhai3,narrow/narrow-minded/badly off
模,mo2,mold/die/matrix/pattern
跪,gui4,to kneel
评,ping2,to discuss/to comment/to criticize/to judge/to choose (by public appraisal)
各,ge4,each/every
短,duan3,short/brief/to lack/weak point/fault
如,ru2,as/as if/such as
既,ji4,already/since/both... (and...)
争,zheng1,to strive for/to vie for/to argue or debate/deficient or lacking (dialect)/how or what (literary)
论,lun4,"opinion/view/theory/doctrine/to discuss/to talk about/to regard/to consider/per/by the (kilometer, hour etc)"
休,xiu1,to rest/to stop doing sth for a period of time/to cease/(imperative) don't
