Character,Pinyin,English
眼,yan3,"eye (CL:隻|只[zhi1],雙|双[shuang1])/(often used with 一[yi1]) a look; a glance/small hole/(bound form) salient point/classifier for wells, cave-dwellings etc"
睛,jing1,eye; eyeball
上,shang4,(bound form) up; upper; above; previous/first (of multiple parts)/to climb; to get onto; to go up/to attend (class or university)/(directional complement) up/(noun suffix) on; above
下,xia4,"down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action"
中,zhong1,"to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)"
间,jian1,gap/to separate/to thin out (seedlings)/to sow discontent
一,yi1,"one/single/a (article)/as soon as/entire; whole; all; throughout/""one"" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
边,bian1,suffix of a noun of locality
毛,mao2,"hair/feather/down/wool/mildew/mold/coarse or semifinished/young/raw/careless/unthinking/nervous/scared/(of currency) to devalue or depreciate/classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])"
颗,ke1,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
黑,hei1,black/dark/sinister/secret/shady/illegal/to hide (sth) away/to vilify/(loanword) to hack (computing)
葡,pu2,used in 葡萄[pu2tao5]
萄,tao2,used in 葡萄[pu2 tao5]
口,kou3,"mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls"
目,mu4,eye/(literary) to look; to regard/eye (of a net); mesh/mesh size; grit size (abbr. for 目數|目数[mu4 shu4])/item; section/list; catalogue/(taxonomy) order/name; title
嘴,zui3,"mouth/beak/nozzle/spout (of teapot etc)/CL:張|张[zhang1],個|个[ge4]"
鼻,bi2,nose
子,zi,(noun suffix)
耳,er3,ear/handle (archaeology)/and that is all (Classical Chinese)
朵,duo3,variant of 朵[duo3]
左,zuo3,left/the Left (politics)/east/unorthodox/queer/wrong/differing/opposite/variant of 佐[zuo3]
右,you4,(bound form) right; right-hand side/(bound form) (politics) right of center/(bound form) (old) west/(literary) the right side as the side of precedence
片,pian4,"thin piece/flake/a slice/film/TV play/to slice/to carve thin/partial/incomplete/one-sided/classifier for slices, tablets, tract of land, area of water/classifier for CDs, movies, DVDs etc/used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc/Kangxi radical 91"
座,zuo4,"seat/base/stand/(archaic) suffix used in a respectful form of address, e.g. 师座|师座[shi1 zuo4]/CL:個|个[ge4]/classifier for buildings, mountains and similar immovable objects"
