,Character,Pinyin,English
0,捞,lao1,to fish up/to dredge up
1,夜,ye4,night
2,晚,wan3,evening/night/late
3,井,jing3,a well/CL:[kou3]/neat/orderly
4,急,ji2,urgent/pressing/rapid/hurried/worried/to make (sb) anxious
5,得,de2,to have to/must/ought to/to need to
6,叫,jiao4,variant of [jiao4]
7,糟,zao1,dregs/draff/pickled in wine/rotten/messy/ruined
8,连,lian2,"to link/to join/to connect/continuously/in succession/including/(used with [ye3], [dou1] etc) even/company (military)"
9,忙,mang2,busy/hurriedly/to hurry/to rush
10,跟,gen1,heel/to follow closely/to go with/(of a woman) to marry sb/with/compared with/to/towards/and (joining two nouns)
11,老,lao3,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough
12,快,kuai4,rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant
13,倒,dao4,to invert; to place upside down or frontside back/to pour out/to tip out; to dump/inverted; upside down; reversed/to go backward/contrary to what one might expect; but; yet
14,拉,la1,used in [la4la4gu3]/variant of [la4]
15,住,zhu4,"to live/to dwell/to stay/to reside/to stop/(suffix indicating firmness, steadiness, or coming to a halt)"
16,另,ling4,other/another/separate/separately
17,接,jie1,to receive/to answer (the phone)/to meet or welcome sb/to connect/to catch/to join/to extend/to take one's turn on duty/to take over for sb
18,越,yue4,to exceed/to climb over/to surpass/the more... the more
19,长,zhang3,chief/head/elder/to grow/to develop/to increase/to enhance
20,直,zhi2,straight/to straighten/fair and reasonable/frank/straightforward/(indicates continuing motion or action)/vertical/vertical downward stroke in Chinese characters
21,最,zui4,most/the most/-est (superlative suffix)
22,伸,shen1,to stretch/to extend
23,刚,gang1,hard/firm/strong/just/barely/exactly
24,碰,peng4,old variant of [peng4]
25,抬,tai2,variant of [tai2]
26,喘,chuan3,to gasp/to pant/asthma
27,用,yong4,to use; to make use of; to employ/(coverb) with; using/to need; to have to (usu. used in the negative or in questions)/usefulness; utility/(bound form) expense; outlay/(courteous) to eat; to drink/(literary) hence; therefore
28,故,gu4,"happening/instance/reason/cause/intentional/former/old/friend/therefore/hence/(of people) to die, dead"
29,灰,hui1,ash/dust/lime/gray/discouraged; dejected
30,帮,bang1,"to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/upper (of a shoe)/group/gang/clique/party/secret society"
31,完,wan2,to finish/to be over/whole/complete/entire
32,车,che1,war chariot (archaic)/rook (in Chinese chess)/rook (in chess)
33,送,song4,to send; to deliver; to transmit/to give (as a present)/to see (sb) off/to accompany; to go along with
34,给,gei3,to supply/to provide
35,您,nin2,"you (courteous, as opposed to informal [ni3])"
36,伯,bo2,"father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address/Count, third of five orders of nobility [wu3 deng3 jue2 wei4]"
37,包,bao1,"to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/package/wrapper/container/bag/to hold or embrace/bundle/packet/CL:|[ge4],|[zhi1]"
38,吗,ma,"(question particle for ""yes-no"" questions)"
39,翻,fan1,variant of [fan1]
40,松,song1,"loose/to loosen/to relax/floss (dry, fluffy food product made from shredded, seasoned meat or fish, used as a topping or filling)"
41,以,yi3,to use/by means of/according to/in order to/because of/at (a certain date or place)
42,浇,jiao1,to pour liquid/to irrigate (using waterwheel)/to water/to cast (molten metal)/to mold
43,捉,zhuo1,to clutch/to grab/to capture
44,什,shen2,"ten (used in fractions, writing checks etc)/assorted/miscellaneous"
45,饿,e4,hungry/to starve (sb)
46,些,xie1,"classifier indicating a small amount or small number greater than 1: some, a few, several"
47,再,zai4,"again; once more; re-/further; beyond this point of time/(before an adjective) more/then (after sth, and not until then)/no matter how ... (followed by an adjective or verb, and then (usually) [ye3] or [dou1] for emphasis)/(used to introduce additional information, as in |[zai4ze2], [zai4jiu4shi4] etc)/(literary) to reappear; to reoccur"
48,没,mei2,drowned/to end/to die/to inundate
49,点,dian3,point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch [geng1]/dot stroke in Chinese characters/classifier for items
50,吧,ba,(onom.) smack!
51,挑,tiao1,to raise/to dig up/to poke/to prick/to incite/to stir up
52,担,dan1,"picul (100 catties, 50 kg)/two buckets full/carrying pole and its load/classifier for loads carried on a shoulder pole"
53,问,wen4,to ask; to inquire
54,哪,na3,"which? (interrogative, followed by classifier or numeral-classifier)"
55,才,cai2,(variant of [cai2]) just now/(variant of [cai2]) (before an expression of quantity) only
56,能,neng2,can/to be able to/might possibly/ability/(physics) energy
57,自,zi4,(bound form) self; oneself/from; since/naturally; as a matter of course
58,己,ji3,"self/oneself/sixth of the ten Heavenly Stems [shi2 tian1 gan1]/sixth in order/letter ""F"" or Roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc/hexa"
59,钓,diao4,to fish with a hook and line; to angle
60,早,zao3,early/morning/Good morning!/long ago/prematurely
61,晨,chen2,morning/dawn/daybreak
62,太,tai4,highest/greatest/too (much)/very/extremely
63,阳,yang2,"positive (electric.)/sun/male principle (Taoism)/Yang, opposite: |[yin1]"
64,东,dong1,east/host (i.e. sitting on east side of guest)/landlord
65,弟,di4,variant of [ti4]
66,哥,ge1,elder brother
67,静,jing4,still/calm/quiet/not moving
68,等,deng3,to wait for; to await/by the time; when; till/and so on; etc.; et al./(bound form) class; rank; grade/(bound form) equal to; same as/(used to end an enumeration)/(literary) (plural suffix attached to a personal pronoun or noun)
69,话,hua4,old variant of |[hua4]
70,蜻,qing1,see [qing1 ting2]
71,蜓,ting2,see [qing1 ting2]
72,竿,gan1,pole
73,已,yi3,already/to stop/then/afterwards
74,经,jing1,classics/sacred book/scripture/to pass through/to undergo/to bear/to endure/warp (textile)/longitude/menstruation/channel (TCM)/abbr. for economics |[jing1 ji4]
75,蝴,hu2,used in [hu2die2]
76,蝶,die2,(bound form) butterfly
77,漂,piao1,used in [piao4liang5]
78,但,dan4,but; yet; however; still/merely; only; just
79,唉,ai1,alas/oh dear
80,为,wei4,variant of |[wei4]
81,专,zhuan1,variant of |[zhuan1]
82,心,xin1,"heart/mind/intention/center/core/CL:|[ke1],|[ge4]"
83,儿,er2,non-syllabic diminutive suffix/retroflex final
84,停,ting2,to stop/to halt/to park (a car)
85,像,xiang4,to resemble/to be like/to look as if/such as/appearance/image/portrait/image under a mapping (math.)
86,步,bu4,a step/a pace/walk/march/stages in a process/situation
87,动,dong4,"(of sth) to move/to set in movement/to displace/to touch/to make use of/to stir (emotions)/to alter/abbr. for |[dong4 ci2], verb"
88,力,li4,power/force/strength/ability/strenuously
89,狐,hu2,fox
90,狸,li2,variant of [li2]
91,窝,wo1,nest/pit or hollow on the human body/lair/den/place/to harbor or shelter/to hold in check/to bend/classifier for litters and broods
92,洞,dong4,"used in [Hong2tong2], a county in Shanxi"
93,她,ta1,she
94,孩,hai2,(bound form) child
